text,contest
The answer to number seven? I can’t even turn this thing on.,592
"Back to work birds, and enough with the wisequacks!",592
"Him? He's a pwoblem duck, stwessed out and weady to quack.",592
I'm only in it for the bread.,592
"""And the best, they work for birdseed !'",592
The rats wouldn't perform without a mouse.,592
The experiment was successful; all the ducks are in a row.,592
"When I snap my fingers, you will go home, eat breadcrumbs and crap all over the park.",592
I’m surprised. I really thought they would fly through this training.,592
A little redundant don't you think? You have all your ducks in a row and online.,592
"I can't explain this, maybe we will find a reasonable explanation in next week's New Yorker.",592
They wanted more accurate data on fly-over states.,592
That rebel in the third row? Let’s just eat him.,592
This might be the reason it always autocorrects to 'ducking',592
Its nice that they got us new computers. But these are neither web nor wing friendly.,592
And these are the exchange students from the University of Oregon.,592
We're trying to teach them the hunt and peck method.,592
"They're great tweeters, but hard on the touch screens.",592
"Okay class, Miss Givens will now walk you through using Google Maps to plan flights south.",592
Ummm…I suspect the directive wasn’t “quack the code”.,592
Haven't you ever seen an IT department before?,592
Shouldn't we be facing south for the winter semester?,592
Isn't this experiment supposed to be done with monkeys?,592
"Check it out, everyone is migrating to this new operating system!",592
I think they're all tweeting.,592
I just googled Snopes and both of these doctors are quacks.,592
I'm not sure you are the right fit for a job here at Twitter.,592
They’ve agreed on Duck Soup instead of Hamlet,592
It’s a waste of time. They’re all lame ducks.,592
"Well I'm not sure Quacks will replace Tweets, but it's an improvement over the Oink Campaign last month, and I do like their enthusiasm.",592
Let’s see if the unflavored keypads hold up any better.,592
Don't they know we can't type?,592
"Don't tell her husband about our time in the bathtub, okay!?!",592
"No, dummy. It's 'too be or not too be.'",592
I don`t think anyone ever asked them 'why' before.,592
"If it weren't double blind, you'ld already know which one is a duck.",592
It's not so much what she said as how she said it.,593
"No, my wife served the papers personally.",593
I'm pretty sure it's a final notice,593
"...oh, and there's a note from your mother.",593
‘Sharply worded’ would describe it.,593
"Actually, I would like to shoot the messenger.",593
"Hi honey, we just received the new Republican tax plan.",593
"Well, it doesn't feel like a metaphor.",593
"Yes, I am painfully aware of your terms and conditions.",593
"What I had actually said was ""Take a stab at it and get back to me""",593
I have reason to believe that my wife found our love letters.,593
At least she didn’t use bullet points.,593
"And I said, ""Divorce papers? Why not just stick a knife in my back?""",593
"To her credit, she did leave a note.",593
I'd like to switch to paperless statements.,593
Turns out they CAN pin it on me,593
"The stress is bearable, it's the paperwork that's killing me.",593
I think we can rule out reconciliation.,593
I've just received some painful news.,593
"I'm sorry, but Emma and I won't be able to make it to your murder mystery party. Clever invitation, by the way.",593
She knows.,593
My wife served the papers herself.,593
"No, I can't sit back and relax.",593
I got your text but I’m having trouble with the attachment.,593
"I wouldn't say it went well, but she did sign the divorce papers.",593
Remember when we thought there couldn't be anything worse than his tweets.,593
All I can say is that I did not see this coming.,593
"No, I haven't read it but I get the point.",593
I think the worst news is behind me.,593
"I can’t read it, but I got the message.",593
"No, I haven't read it yet, but I get the point.",593
"Yes, well I'm afraid I'm not in any position to read the fine print just now.",593
I remember them from last year. They must be perennials.,594
"Relax, they're just DRESSED like lumberjacks.",594
I love the fall when all their shirts turn plaid.,594
"Honestly? He's like, ten rings too old for her.",594
They've been in love since 1992. I know. Their initials are carved in my ass.,594
I just love watching them turn plaid in the fall.,594
Could I interest you in a treesome?,594
"You think that's weird, you should watch them pollinate.",594
"Look, Kevin, we're in a Cialis commercial!",594
"... And then their hair begins to lose its color, eventually falling off ...",594
There was a time when a beard and a checkered shirt would have made me nervous,594
"Surprise, surprise. The new manager is a fat white guy with no pants.",595
I can already tell he won't last.,595
He's not as bad as the last manager. That one was abominable.,595
They didn't say who...they just said one of us won't be here in the spring...,595
"It's not you, he's frosty to everyone.",595
I told him if he can't find his size to just wait a few minutes.,595
Either the constant staring stops or I'm cranking up the thermostat.,595
I hear he had a meltdown after the holidays last year,595
He's the very definition of seasonal help.,595
"If he asks you if you want to see his other carrot, just say no.",595
I think you misunderstood when I said to hire seasonal help.,595
He insists it's all water weight.,595
They set the temperature for just ONE employee while the rest of us freeze to death.,595
So he calls me into his office and when I get there he's wearing nothing but a scarf and a top hat,595
I guess the hiring freeze has officially started.,595
"He's fun, sure, but he won't last.",595
"If I wanted a boss with no pants, I'd have stayed in Hollywood.",595
"C’mon, live a little.",596
"C’mon, live a little.",596
"No, thanks. I'm just here to kill time.",596
Just one. I have to get up in the morning and you don't.,596
Last call? You have no idea.,596
Here's to you and taxes.,596
"Actually, I did leave my bag unattended for a few minutes. Why?",597
"Oh, we're not traveling. Our new health plan only covers X-rays done by TSA screening.",597
I’m allowed one suitcase and two personal items,597
I checked the fine print. There’s no fee for emotional baggage.,597
"So, while I was in Rome, I picked up a little Italian",597
This airline always loses my luggage. This time I'm counting on it.,597
He’s used to living out of a suitcase.,597
"If they lose him, I get $750.",597
I packed in a hurry this morning and just grabbed whatever was lying on the bed.,597
You should see how excited he gets when I pick him up at baggage claim.,597
I can't believe my baggage fit in my luggage.,597
He actually gets more legroom in there.,597
He says there's more legroom than in coach.,597
"I'm checking it to Chicago, Me, I'm going to Bermuda.",597
They think we're going on a trip but actually I'm taking them to be fixed.,597
Ted thought this girls' trip was a great idea. He even packed for me.,597
They settle down once they're in the overhead.,597
"Actually, they're both rescues.",597
I’m just happy to be away from my clingy boyfriend and his obnoxious dog.,597
I'm the fitness guru. The wisdom guru is one mountain over.,598
When I retired from Google they let me keep my chair.,598
It's for my back. You have two more questions.,598
"No, but I can show you the path to a tighter butt.",598
"Before I settled here, I bounced around a lot.",598
It turns out that inner peace is 95% core strength.,598
Enlightenment? I'm just trying to achieve alignment.,598
"The keys to a long life are balance and color, but mostly staying away from the edge.",598
"You only get one question and you ask, ""What's that?""!",598
I think there's a misunderstanding. I'm the Bally Lama.,598
I dreamt last night that some day judges might just require a small plastic bracelet,599
They’re known for their unconditional love.,599
"It's called a ""pet.""",599
I know he's extinct. Try telling him that.,599
Do you guys remember the code for the alarm?,599
I'm considered a flight risk.,599
Cave arrest isn't as comfy as I thought it would be,599
"I don't think this ""pet"" thing will ever catch on.",599
"Sure it hurts, but that’s fashion.",599
I was hoping for more of an emotional attachment.,599
Only if I think about it.,599
I parked in a toe-away zone.,599
He's very clingy.,599
He's very attached.,599
we all seem to have one eye,599
My security system has a few glitches.,599
I couldn't afford a fitbit.,599
Mental note. Don’t say “bite me”to a literalsaurus.,599
My wife got a matching bracelet.,599
Frankly he hasn't grasped the concept of 'heel' yet.,599
I can't wait until they invent a leash.,599
He's still teething. He'll evolve out of it.,599
These new ankle monitors are barely noticeable,599
Some extictions can't come soon enough.,599
"Nothing much, what's up with you two?",599
He's been extinct for 65 million years so I'm just as surprised to see him as you are.,599
"The wife wanted a dog, but those won’t be domesticated for another 3,000 years.",599
"No, go without me I shouldn't ignore this gnawing feeling.",599
The teething is killing me.,599
"I brought him home to eat, but I think he misunderstood.",599
It was a lot cuter as a puppy,599
He's been clingy ever since that asteroid last week.,599
The fines don’t even cover feeding the ankle monitor...,599
I didn't mind so much when he was smaller.,599
Right now we're both trying the Paleo thing.,599
Mission accomplished. We will report that this planet's inhabitants are friendly and playful.,600
"When I said abduct the dog, I meant President Trump...",600
"What is boy? A fire down by the old Jetson's house?""",600
Did you remember to take him out before we left?,600
"He agrees to a rectal probe, but only if we use our noses.",600
"My research on tail movements suggests he has to “go,” but I haven’t been able to determine what that means...",600
These earthlings are more intelligent than I thought they’d be.,600
"Tap...tap, tap. What does the code book say?",600
Thank goodness there's at least SOME intelligent life down there.,600
"I just said ""come"" and he came.",600
He looks too intelligent to account for what's going on down there.,600
He says he has business to do on earth.,600
I thought you were a cat person.,600
"I said beam up Scotty, not Spotty!",600
Now remember your mission: go infiltrate a human family and report back.,600
Did you bring your vaccination records with you?,600
"That’s right. Dog-light years are seven times longer, too.",600
These earth creatures are the most lovable and loyal species we've found in the universe.,600
It followed me home. Can I keep him?,600
They seem to have more leadership qualities than the other species.,600
Those beings I see you leading around must be an inferior species?,600
So you are saying if we offer belly rubs and squeaky toys we could take over the world?,600
"We've been monitoring Twitter so there'll be no, ""Take me to your leader.""",600
It’s their leader.,600
"Explain how your species has enslaved the humans, and we shall provide a treat.",600
"He says he has a wide-ranging interest in medieval and renaissance literature, but all he gets on earth is ""go fetch.""",600
"The four legs, long ears, sensitive nose and temperament are all improvements over the last Earthling we examined.",600
"What’s that, Sport? Timmy’s fallen down a black hole?!",600
"Back to your shithole planet, dog.",600
It seems his name is ‘sit.’,600
"Bear with me, I'm Sirius I have to get to the Dog Star to bury my bone.",600
"Then I get my dinner around 5 PM, relatively speaking.",600
Our research indicates that this is the highest life form on the planet.,600
"Daddy, can we eat... I mean keep him?",600
"Well, sure you can come live on our planet. We value kind, decent, honest life. Doesn’t everyone?",600
"I don't know either. I just heard this guy saying ""Beam me up a Scotty,"" and then this great whooshing sound, and now here I am.",600
"They seem friendly enough, but I was expecting opposable thumbs.",600
And who is going to walk him?,600
I know it's demeaning Johnson but if they ask- you're the good boy.,600
Our initial findings were wrong. There is intelligent life on this planet.,600
"The planet BigBones approaches, Lord Barker.",600
To boldly fetch where no dog has fetched before.,600
"This one is a common species, a rap artist, if I'm not mistaken.",600
"You thought it was just a big frisbee, didn't you boy, didn't you?",600
"We find it to be highly intelligent. It has domesticated a two legged creature to walk with it to clean up after it, and to bring it food.",600
"Ok! Now, we just need peanut butter.",600
Any news of Gérard Depardieu?,600
"Amazing, even their pets wear jewelry!",600
"Breeglot dooot phlom skiegor, Rex?",600
"Bark once for 'I'm really a dog"" and twice for ""It's a transporter screwup.",600
There really is a Dog!,600
Wait. Let me get this straight. The humans kidnapped you from your family and then did what to your genitals?,600
I think he is trying to tell us something.,600
A perfect apparatus for human domination!,600
Inform Commander Laika she has a visitor.,600
He appears to be from the planet K-9.,600
Sometimes those electromagnetic fences just don't work.,600
"Whatcha looking at? I'm just a dog. Ok, so I have a few fleas.",600
We've tried every language in the galaxy and we're no closer to knowing who's a good boy.,600
The earthlings have a very unusual method of greeting each other.,600
"Wow, they sure solved the hair loss problem!",600
Go get help!,600
"We took their best friend, of course they'll surrender.",600
I found him at a stripper bar. He was the only one with his tail on backwards.,600
"Well, you did say ""beam up the smartest thing at the White house"".",600
This was only species that responded to 'STAY!',600
I have deciphered the Best Friend of Human's tail message. He wants to play ball.,600
I stand corrected. There is intelligent life on earth after all.,600
If you ask me it's an antenna of some kind.,600
At last! Intelligent life on Earth.,600
"Stupid computer....I said ""retrieve HER.""",600
"It seems the only thing they can't figure out is ""Who's a good boy?""",600
"Contrary to what we thought, there is intelligent life down there.",600
"It seems to command a sizeable staff of chaperones, cooks, and exercisers, plus free rent and medical care...definitely the planet's alpha.",600
"You learned that men are from Mars, women are from Venus, and cats are from Uranus?",600
Apparently it is their 'best friend',600
ok who's turn is it to put on all the gear and take him out....,600
Earthlings are much more advanced in development than I anticipated.,600
"Good luck, agent Smith. We are confident the humans won’t suspect a thing.",600
"Careful, he probes with his snout.",600
"Well, what do you know? There really is a Dog.",600
This one actually listens.,600
I mentioned a cat scan and he looked at me like i was from outer space,600
He wants us to try the method his species uses to identify each other.,600
This one appears to be broken.,600
Where's the pony?,600
"Who’s the most intelligent life form on your planet? You are, yes you are!",600
Fly me to the moon.,600
Finally...an intelligent life form!,600
"Houston, we have a problem.",600
Your mission is to find Pluto and bring him back.,600
The dog tag says return to Sputnik.,600
He was the smartest one we could find in The White House.,600
What shithole planet are you from?,600
"It looks harmless,but they rule the Earthlings.",600
Pluto!,600
"That's right. Stand at ""Attention"". Good aliens!",600
Cute! Fun! How do earthlings get anything done?,600
Will someone please take this earthling to the poop deck!,600
"In outer space, nobody knows you're a dog.",600
And you say you know where this Dog Park is?,600
I still think that having him along to get us seven times faster in light years is not good science.,600
"We await your orders, Your Eminence.",600
"Our language experts say that wagging the tail is its way of saying ""Take me to your leader.""",600
"Awwww, he wuvs us.",600
That’s not a Scottie.,600
The creature radiates love. It's safe to land.,600
Man’s best friend is the perfect disguise.,600
I love the subtlety of their language.,600
So far our interrogation has determined that he's fluent in two languages - woof and arf!,600
How would you like to visit a world that's not dog-eat-dog?,600
It's settled. We'll keep him.,600
"Dammit Brork, not this kind of rover!",600
Fido: fetch the human.,600
"Normally we'd ask to be taken to your leader, but we've been monitoring your media broadcasts, and I think we'll just stay with you.",600
I thought you said it wouldn't need much attention.,601
"You know how they say that in the Spring, the desert comes alive?",601
We'll lose him in the swimming and biking stages.,601
Something tells me the peyote is staring to kick in.,601
I told you not to water it. Now it's going to follow us home.,601
Looks like we're not the only ones who want out before he builds that wall...,601
"Hon, remember that little cactus we let die on the window sill?",601
Next time just relieve yourself against a rock.,601
"Don't look now, but some prick is following us.",601
"Sorry, we only hug trees.",601
He just wants to say aloe.,601
The operation went well—you’re one tough cookie.,602
We ran a few tests and all the toothpicks came back clean,602
"In our opinion, you won't make it past the holidays.",602
Have you tried icing it?,602
I'm afraid the confection has spread.,602
It's not a ginger fracture. It's worse. It's a ginger snap.,602
I'm not going to sugarcoat this.,602
"I'm afraid, sir, since you were on the floor for more than five seconds, there's nothing we can do for you.",602
He's only known to us as John Dough.,602
Good news: it's just a yeast infection.,602
The results of your biopsy were delicious.,602
We have good news and bad news: You'll be home for Christmas.,602
Eyes still look glazed.,602
"You're fine, but they couldn't save the house.",602
"I’m afraid that IS the way it crumbles, sir.",602
Time to meet your baker.,602
You’re lucky. They usually bite the head off first.,602
"Your color is good, but your sugar level is high.",602
Were you battered as a child?,602
So the good news is we finally got your temperature down from 350 degrees.,602
Go home. Rest. Put some icing on it.,602
Have you tried icing it?,602
"I'm here to take a tissue sample...actually, we'd all like samples.",602
"Yes, thanks to a generous raisin donor, you can see again.",602
Good news. The Pillsbury Dough Boy is a match.,602
The fact that you survived the holidays is a good sign,602
We'd like to keep you here for further tasting.,602
"Look, there's just no way to sugar-coat this...",602
"You are a lucky man, considering that you had a temperature of 350 degrees for eight to ten minutes.",602
It's obviously gingervitis.,602
"Unfortunately, all of our wheelchairs are in use. We do have a dessert cart.",602
I'm afraid he's going to die of consumption.,602
"In case the surgery goes south, we're hoping that you consent to donating your body to the nurses break room.",602
The procedure will cost you an arm and a leg.,602
Prepare to meet your baker.,602
"Sir, you are one tough cookie.",602
It's a miracle that you survived. Your house was totally devoured.,602
"We're discharging you. I suggest that you run, run, as fast as you can.",602
"Your cholesterol and sugar levels are a little high, but you color's good and you smell delicious.",602
"Your sugar is too high, your fats are elevated, and , quite frankly, you’re a day too old.",602
The good news is we have a cure. The bad news is it'll cost you an arm and a leg.,602
"Actually, you're right. Everyone does want a piece of you.",602
"The patient won't tell us his name, so for the moment he's just John Dough.",602
"And tomorrow when you wake up, you'll be a gingerbread woman.",602
We're here to serve you.,602
"On a scale of 1 to 10, how crummy do you feel?",602
Welcome to the Culinary Care Unit.,602
This is the team that put Humpty Dumpty back together again.,602
We were wondering if we could take a few more samples.,602
Congratulations. You're now transginger.,602
"""I'm sorry, did you just say bite me?"".",602
You are one sick cookie.,602
It's a miracle you lasted through the holidays.,602
I'm not going to sugarcoat this.,602
"You'll be able to walk again, but only gingerly.",602
"Despite our best efforts, the confection is spreading.",602
You’d have the option to donate your body to science or to the bake sale.,602
They're here to take samples.,602
So. What's eating you?,602
"On the bright side, none of us thought you'd make it through Christmas.",602
We've decided to keep you here for another 20 minutes at 350 degrees.,602
You are one tough cookie.,602
I've done all I can do. It's time to meet your baker.,602
We're moving you to the cafeteria.,602
We had to remove your raisins.,602
We used to offer enlightenment. Then we discovered people really preferred brunch.,603
The path to true enlightenment is long and arduous. But you may wait at the bar.,603
Only you will truly know when your table is ready.,603
We don't have menus here. Everybody just gets what they deserve.,603
"My son, we all have reservations.",603
"The Meaning of Life? Oh, that's just the name of the restaurant.",603
"I have a one o'clock reservation, last name is Miller but I'm no longer a party of four.",603
Welcome to the Deli Lama.,603
"I know time is meaningless, but there is still a forty minute wait.",603
I can't seat you until you are fully present.,603
"The journey is long, my son, but the wait is even longer.",603
"All who seek enlightenment are welcome, but the restroom is for patrons only.",603
"No my son, you must come without reservations.",603
I can answer all the questions of the universe and all anyone wants to know is the Wi-Fi password.,603
Enlightenment is on Thursdays. Today is Taco Tuesday.,603
"I can validate your existence, but not your parking.",603
"Interesting, you came up this way. Most people use the escalator on the other side...",603
Welcome to the Deli Lama.,603
Words of wisdom? Don't get the chicken salad.,603
I’m sorry we’re a little busy. Maybe try off-peak.,603
They had reservations. You have two more questions.,603
The secret of life is call ahead.,603
"The food's good, but the atmosphere's a little thin.",603
I hope you have a tie in that back pack.,603
Party of oneness?,603
Good luck getting a table. I've been waiting here forever.,603
No Wi-Fi but we have a direct connection to the cloud.,603
We cannot make change for your $20; change comes from within.,603
"Enlightenment wasn't paying the bills, so we added a coffee shop.",603
"We can seat you outside or inside, it doesn’t matter. Nothing matters.",603
"You can come down, he's not the president anymore.",603
"Sorry, we only serve food for thought.",603
"If you want kosher, try that place over on Mt Sinai.",603
Trust me. One day your portrait will be used as the symbol of a political party even more primitive than we are.,604
I know what you're thinking -- don't quit hunting and gathering.,604
"Well, if you want a record of your existence, it’s either this or the tar pits.",604
You should have seen my parents when I told them I didn't want to be a hunter OR a gatherer.,604
"I'm calling it ""The Elephant in the Room""",604
It's SUPPOSED to be primitive!,604
"Don't worry, it's just a cave painting. No one will ever see it.",604
The drawing is the easy part. It's coming up with a caption that's tough.,604
It will be worth more when you're extinct.,604
How do you know it doesn't look like you?,604
"Son, your Mom and I want you back in the picture.",605
"Whatever you do, don’t take the stairs near the Escher painting!",605
The Demoiselles d’Avignon are out to lunch. We’re the McMurrays of Hackensack.,605
Imitating life. What are YOU doing?,605
It's creepy how his eyes are following us.,605
"Well you're no masterpiece yourself, pal.",605
"It says ""Man Looking Stupid"". What does yours say?",605
We kinda got drawn into it.,605
"Due to NEA budget cuts, the painting you would have seen here will be described by my wife, Ethel, her sister, Irene, and myself.",605
"As senior squeegee-man during flight simulations, moving up didn’t pan out.",606
"Yep, we're lost. We passed this guy an hour ago.",606
"He's always had his head in the clouds, but THIS ???",606
"OK, but he is going to have to check that bag.",606
It's the only way Delta lets you redeem their vouchers,606
"While stoned, he mistook a weather balloon for exhaust from a semi.",606
Jack had it all till the beanstalk died.,606
My only regret is that he never got around to visiting your mother.,607
He touched so many lives.,607
"Well, that just leaves taxes.",607
"You know, I can never define irony, but I know it when I see it.",607
I was hoping taxes would go first.,607
"Well, I guess that just leaves taxes.",607
He lived everyday like it was your last.,607
I wonder if he saw himself coming.,607
All they’d say is that it was job-related.,607
I guess we can stop eating kale.,607
I guess his work finally caught up with him.,607
"Well, he has no one to blame but himself for this.",607
I warned him not to run with that thing.,607
"Well, at least he died doing what he loved",607
They did a nice job. He looks grim.,607
"Well, he has no one to blame but himself.",607
I can’t believe Keith Richards outlived him.,607
"Well, that leaves taxes.",607
So where does this leave us on the “till death do us part” thing?,607
Does this mean your mother will be living with us forever?,607
I always hoped that Taxes would be the first to go.,607
Suddenly everyone has only good things to say about him.,607
He died doing what he loved.,607
"Then I said, ""would it kill you to smile now and then?""",607
Amazon puts everyone out of business.,607
To think how many lives he touched.,607
He had so much death left in him.,607
"Well, I guess we can start drinking and smoking again.",607
At least he died doing what he loved.,607
"In spite of everything, he stayed grim right up until the end.",607
I was really hoping Taxes would go first...,607
I hear the new guy has a weed wacker.,607
I guess you can be too good at your job.,607
"And that's when he said, 'Let me handle the N.R.A.'",607
The hard part was transposing from C major to Fahrenheit.,608
It's for when hell freezes over.,608
We need to screen our organ donors more closely.,608
Have you tried banging on it?,608
Is it too hot to Handel?,608
"The last guy played beautifully, but he couldn't handle the pressure.",608
No. I said streaming music.,608
When I get to that part where I talk about Hell turn it all the way up',608
You're right. It has a warmer sound.,608
The hissing is coming from the congregation.,608
Too hot to Handel.,608
"With our budget it was either heat or music, until I had a vision.",608
The man upstairs is complaining.,608
Exactly who did you call to fix the pipes?,608
It's right out of the Old Tenement.,608
All the other organists are going solar.,608
It has a nice warm sound to it,608
He really did appoint Chris Christie as Secretary of Transportation.,609
We can take this and transfer to the BLT at 42nd,609
You rarely see heroes in the subway anymore,609
"Next stop, New Deli.",609
Why does everything look like food when I am on a diet?,609
Let’s wait for the next train. Something’s not kosher with this one.,609
I think we're at the wrong Subway,609
I’m just relieved Subway outbid Trojan.,609
"You realize you’ve just wasted your last wish, don’t you?",609
"Budget cuts, service cuts, now, cold cuts?",609
Let's catch the next one. I hate being sandwiched in.,609
"I don't care, it's on time and we're taking it.",609
Next stop is the Mayo Clinic.,609
It's on time but it's not what I ordered,609
What's next? The gravy train?,609
If it touches the third rail it's toasted,609
Let's wait for the club car.,609
I'm going to need a moment to digest this.,609
It looks packed. Let's wait for the BLT.,609
